Consensus_Tier1	Consensus_Tier2
ABI1	A1CF
ABL1	ACSL6
ABL2	AKAP9
ACKR3	AKT3
ACSL3	ALDH2
ACVR1	ANK1
ACVR2A	ARAF
MLLT4	ARHGAP5
AFF1	ARHGEF10
AFF3	ARHGEF10L
AFF4	ASXL2
AKT1	BAZ1A
AKT2	BCL2L12
ALK	BCLAF1
AMER1	BIRC6
APC	BMP5
APOBEC3B	C15orf65
AR	CASP3
ARHGAP26	CASP9
ARHGEF12	CCNC
ARID1A	CCR4
ARID1B	CCR7
ARID2	CD209
ARNT	CD28
ASPSCR1	CDH10
ASXL1	CDH17
ATF1	CDKN1A
ATIC	CEP89
ATM	CHD2
ATP1A1	CHIC2
ATP2B3	CHST11
ATR	CLP1
ATRX	CNBD1
AXIN1	CNTNAP2
AXIN2	COL3A1
B2M	COX6C
BAP1	CPEB3
BARD1	CRNKL1
BAX	CSF1R
BCL10	CSMD3
BCL11A	CTNNA2
BCL11B	CTNND1
BCL2	CTNND2
BCL3	CUL3
BCL6	CYP2C8
BCL7A	CYSLTR2
BCL9	DCAF12L2
BCL9L	DCC
BCOR	DGCR8
BCORL1	
BCR	ECT2L
BIRC3	EED
BLM	EIF1AX
BMPR1A	ELF3
BRAF	ELN
BRCA1	EPHA3
BRCA2	EPHA7
BRD3	FAM131B
BRD4	FAM135B
BRIP1	FAM47C
BTG1	FAT3
BTK	FBLN2
BUB1B	FEN1
CACNA1D	FKBP9
CALR	FLNA
CAMTA1	FNBP1
CANT1	FOXR1
CARD11	GLI1
CARS	GMPS
CASP8	GPC5
CBFA2T3	GRM3
CBFB	HMGN2P46
CBL	ID3
CBLB	IGF2BP2
CBLC	ISX
CCDC6	ITGAV
CCNB1IP1	JAZF1
CCND1	KAT7
CCND2	KIAA1549
CCND3	KNSTRN
CCNE1	LARP4B
CD274	LCP1
CD74	LEPROTL1
CD79A	LHFP
CD79B	LSM14A
CDC73	MACC1
CDH1	MALAT1
CDH11	MB21D2
CDK12	MDS2
CDK4	MGMT
CDK6	MNX1
CDKN1B	MUC16
CDKN2A	MUC4
CDKN2C	N4BP2
CDX2	NACA
CEBPA	NBEA
CHCHD7	NCKIPSD
CHD4	NTHL1
CHEK2	OMD
CIC	PABPC1
CIITA	PCBP1
CLIP1	PMS1
CLTC	POLG
CLTCL1	PRDM2
CNBP	PRKCB
CNOT3	PRPF40B
CNTRL	PTPN6
COL1A1	PTPRD
COL2A1	PWWP2A
CREB1	RAD17
CREB3L1	RALGDS
CREB3L2	RFWD3
CREBBP	RGPD3
CRLF2	RGS7
CRTC1	ROBO2
CRTC3	S100A7
CSF3R	SEPT5
CTCF	SEPT6
CTNNB1	SEPT9
CUX1	SETD1B
CXCR4	SETDB1
CYLD	SGK1
DAXX	KIAA1598
DCTN1	SIRPA
DDB2	SIX2
DDIT3	SKI
DDR2	SMC1A
DDX10	SNX29
DDX3X	SOX21
DDX5	SPECC1
DDX6	SRGAP3
DEK	STAG1
DICER1	TEC
DNAJB1	TFPT
DNM2	TFRC
DNMT3A	THRAP3
DROSHA	TNC
EBF1	USP44
EGFR	VAV1
EIF3E	VTI1A
EIF4A2	WNK2
ELF4	ZCCHC8
ELK4	ZEB1
ELL	ZMYM3
EML4	ZNF429
EP300	ZNF479
EPAS1	ZNRF3
EPS15	
ERBB2	
ERBB3	
ERBB4	
ERC1	
ERCC2	
ERCC3	
ERCC4	
ERCC5	
ERG	
ESR1	
ETNK1	
ETV1	
ETV4	
ETV5	
ETV6	
EWSR1	
EXT1	
EXT2	
EZH2	
EZR	
FANCA	
FANCC	
FANCD2	
FANCE	
FANCF	
FANCG	
FAS	
FAT1	
FAT4	
FBXO11	
FBXW7	
FCGR2B	
FCRL4	
FES	
FEV	
FGFR1	
FGFR1OP	
FGFR2	
FGFR3	
FGFR4	
FH	
FHIT	
FIP1L1	
FLCN	
FLI1	
FLT3	
FLT4	
FOXA1	
FOXL2	
FOXO1	
FOXO3	
FOXO4	
FOXP1	
FSTL3	
FUBP1	
FUS	
GAS7	
GATA1	
GATA2	
GATA3	
GNA11	
GNAQ	
GNAS	
GOLGA5	
GOPC	
GPC3	
GPHN	
GRIN2A	
H3F3A	
H3F3B	
HERPUD1	
HEY1	
HIF1A	
HIP1	
HIST1H3B	
HIST1H4I	
HLA-A	
HLF	
HMGA1	
HMGA2	
HNF1A	
HNRNPA2B1	
HOOK3	
HOXA11	
HOXA13	
HOXA9	
HOXC11	
HOXC13	
HOXD11	
HOXD13	
HRAS	
HSP90AA1	
HSP90AB1	
IDH1	
IDH2	
IKBKB	
IKZF1	
IL2	
IL21R	
IL6ST	
IL7R	
IRF4	
IRS4	
ITK	
JAK1	
JAK2	
JAK3	
JUN	
KAT6A	
KAT6B	
KCNJ5	
KDM5A	
KDM5C	
KDM6A	
KDR	
