Gene	Pancan Freq%
ABL1	0.011675295
ACVR1	0.007489812
ACVR1B	0.010904285
ACVR2A	0.013988325
AJUBA	0.009031832
AKT1	0.010133275
ALB	0.016631788
ALK	0.024341888
AMER1	0.027425928
APC	0.058706906
APOB	0.080845908
AR	0.01464919
ARAF	0.007930389
ARHGAP35	0.025773764
ARID1A	0.066857583
ARID2	0.031611411
ARID5B	0.017182509
ASXL1	0.021037559
ASXL2	0.018504241
ATF7IP	0.017512942
ATM	0.041193964
ATR	0.028086794
ATRX	0.056944597
ATXN3	0.003965194
AXIN1	0.014098469
AXIN2	0.012666593
B2M	0.009141976
BAP1	0.021367992
BCL2	0.003965194
BCL2L11	0.00539707
BCOR	0.026544774
BRAF	0.071043066
BRCA1	0.020486838
BRCA2	0.032712854
BRD7	0.00848111
BTG2	0.005727503
CACNA1A	0.034254874
CARD11	0.027976649
CASP8	0.017512942
CBFB	0.004846349
CBWD3	0.000660866
CCND1	0.0077101
CD70	0.003744906
CD79B	0.00385505
CDH1	0.024341888
CDK12	0.020486838
CDK4	0.004405772
CDKN1A	0.009141976
CDKN1B	0.006608657
CDKN2A	0.039872233
CDKN2C	0.003744906
CEBPA	0.001872453
CHD3	0.020266549
CHD4	0.030950545
CHD8	0.022910012
CHEK2	0.008701399
CIC	0.027646217
CNBD1	0.014098469
COL5A1	0.039651944
CREB3L3	0.009582553
CREBBP	0.036567904
CSDE1	0.011785439
CTCF	0.019385395
CTNNB1	0.03568675
CTNND1	0.015310056
CUL1	0.012005728
CUL3	0.013988325
CYLD	0.009802842
CYSLTR2	0.007379667
DACH1	0.017623086
DAZAP1	0.008701399
DDX3X	0.014428902
DHX9	0.01310717
DIAPH2	0.015970922
DICER1	0.019275251
DMD	0.070272056
DNMT3A	0.020596982
EEF1A1	0.011234717
EEF2	0.010683996
EGFR	0.037779491
EGR3	0.006057936
EIF1AX	0.00616808
ELF3	0.013327459
EP300	0.033043287
EPAS1	0.013327459
EPHA2	0.015750633
EPHA3	0.036127327
ERBB2	0.022799868
ERBB3	0.025663619
ERBB4	0.038550501
ERCC2	0.011344862
ESR1	0.011234717
EZH2	0.008150677
FAM46D	0.011014429
FAT1	0.062231523
FBXW7	0.037669347
FGFR1	0.011455006
FGFR2	0.019385395
FGFR3	0.015310056
FLNA	0.032382421
FLT3	0.017623086
FOXA1	0.013437603
FOXA2	0.00925212
FOXQ1	0.005286926
FUBP1	0.013327459
GABRA6	0.019605683
GATA3	0.024011455
GNA11	0.007820245
GNA13	0.005947792
GNAQ	0.009141976
GNAS	0.020046261
GPS2	0.005066637
GRIN2D	0.011785439
GTF2I	0.014539046
H3F3A	0.003414473
H3F3C	0.007049234
HGF	0.023130301
HIST1H1C	0.011344862
HIST1H1E	0.01079414
HLA-A	0.007049234
HLA-B	0.009141976
HRAS	0.014539046
HUWE1	0.04879392
IDH1	0.055622866
IDH2	0.006498513
IL6ST	0.009802842
IL7R	0.019054962
INPPL1	0.018724529
IRF2	0.008150677
IRF6	0.0077101
JAK1	0.013657892
JAK2	0.011014429
JAK3	0.0154202
KANSL1	0.018063663
KDM5C	0.0154202
KDM6A	0.029408525
KEAP1	0.024341888
KEL	0.020927415
KIF1A	0.025553475
KIT	0.020927415
KLF5	0.009692697
KMT2A	0.036567904
KMT2B	0.032051988
KMT2C	0.081066197
KMT2D	0.083269082
KRAS	0.069501046
KRT222	0.003414473
LATS1	0.014539046
LATS2	0.01310717
LEMD2	0.004405772
LZTR1	0.014869479
MACF1	0.059808349
MAP2K1	0.008811543
MAP2K4	0.011895583
MAP3K1	0.020707126
MAP3K4	0.017953519
MAPK1	0.006828946
MAX	0.006498513
MECOM	0.026985351
MED12	0.032051988
MEN1	0.008150677
MET	0.019275251
MGA	0.032712854
MGMT	0.002863752
MLH1	0.009692697
MSH2	0.008260822
MSH3	0.01002313
MSH6	0.010573852
MTOR	0.026985351
MUC6	0.024341888
MYC	0.008150677
MYCN	0.008370966
MYD88	0.004736204
MYH9	0.027756361
NCOR1	0.030069391
NF1	0.052869259
NF2	0.011895583
NFE2L2	0.027756361
NIPBL	0.034034585
NOTCH1	0.039431655
NOTCH2	0.024121599
NPM1	0.005066637
NRAS	0.026765062
NSD1	0.031721555
NUP133	0.012556449
NUP93	0.008370966
PAX5	0.008150677
PBRM1	0.037338914
PCBP1	0.006828946
PDGFRA	0.024341888
PDS5B	0.014098469
PGR	0.014869479
PHF6	0.007489812
PIK3CA	0.117523956
PIK3CB	0.01233616
PIK3CG	0.026434629
PIK3R1	0.032051988
PIK3R2	0.00925212
PIM1	0.005617359
PLCB4	0.027315784
PLCG1	0.013327459
PLXNB2	0.026324485
PMS1	0.009582553
PMS2	0.010463707
POLE	0.023681022
POLQ	0.030289679
POLRMT	0.009912986
PPM1D	0.006608657
PPP2R1A	0.017733231
PPP6C	0.006828946
PRKAR1A	0.006388369
PSIP1	0.009912986
PTCH1	0.018173808
PTEN	0.074677828
PTMA	0.007159379
PTPDC1	0.007599956
PTPN11	0.008921687
PTPRC	0.030179535
PTPRD	0.048573631
RAC1	0.007379667
RAD21	0.01079414
RAF1	0.006828946
RARA	0.00693909
RASA1	0.017953519
RB1	0.037008481
RBM10	0.013657892
RET	0.020596982
RFC1	0.009362265
RHEB	0.00308404
RHOA	0.010133275
RHOB	0.006718802
RIT1	0.003634762
RNF111	0.01079414
RNF43	0.017843375
RPL22	0.007379667
RPL5	0.006718802
RPS6KA3	0.009362265
RQCD1	0.003744906
RRAS2	0.002643463
RUNX1	0.013657892
RXRA	0.009912986
SCAF4	0.016411499
SETBP1	0.026544774
SETD2	0.033814297
SF1	0.009472409
SF3B1	0.021698425
SIN3A	0.016521643
SMAD2	0.008150677
SMAD4	0.022910012
SMARCA1	0.015310056
SMARCA4	0.032933142
SMARCB1	0.006388369
SMC1A	0.01387818
SMC3	0.010904285
SOS1	0.014539046
SOX17	0.008150677
SOX9	0.014318758
SPOP	0.01619121
SPTA1	0.088115431
SPTAN1	0.027205639
SRSF2	0.005727503
STAG2	0.024121599
STK11	0.01387818
TAF1	0.026434629
TBL1XR1	0.010463707
TBX3	0.013768036
TCEB1	0.001872453
TCF12	0.010573852
TCF7L2	0.012886882
TET2	0.019275251
TGFBR2	0.015089768
TGIF1	0.006608657
THRAP3	0.011675295
TLR4	0.029628814
TMSB4X	0.00308404
TNFAIP3	0.010133275
TP53	0.375261593
TRAF3	0.008150677
TSC1	0.015199912
TSC2	0.021147703
TXNIP	0.009362265
U2AF1	0.008370966
UNCX	0.002092741
USP9X	0.028086794
VHL	0.022249146
WHSC1	0.015640489
WT1	0.014098469
XPO1	0.01002313
ZBTB20	0.019054962
ZBTB7B	0.010573852
ZC3H12A	0.008591255
ZCCHC12	0.008811543
ZFHX3	0.044608437
ZFP36L1	0.018394096
ZFP36L2	0.009802842
ZMYM2	0.01233616
ZMYM3	0.018504241
ZNF133	0.006057936
ZNF750	0.011455006
