Hugo_Symbol	Incidence	CL97.5%	CL2.5%	Mean
TP53	34.54324145929325	35.10182009843892	33.92176575158199	34.51548537441301
TTN	30.26116989291077	30.790254266949713	29.636435687871685	30.219681797959794
MUC16	19.983005468037383	20.500592358332806	19.38726997018607	19.948182060276746
CSMD3	13.573394745371123	14.041778232412323	13.043659238626836	13.553527789918855
PIK3CA	13.489120923162847	13.95118128010156	12.996033269102641	13.475251860083256
LRP1B	13.082747012419985	13.533392673766956	12.585558841301074	13.058869741326799
RYR2	13.008859831885704	13.461804197464058	12.487888262590719	12.98729699707809
SYNE1	12.833705280234486	13.294973123477671	12.278075134027722	12.792348838995993
USH2A	11.917341490529823	12.397303808182837	11.39477921241335	11.8921721357052
FLG	11.535770903281028	12.007629158494906	11.00841198992991	11.50641845587028
ZFHX4	10.933816504966343	11.390144863392482	10.453466628519777	10.916623765959175
KRAS	10.542235494241137	10.883163540114495	10.16382224688506	10.521604790103646
PCLO	10.198681504146451	10.61191494944461	9.7184246744147	10.171462673582354
APC	10.091415075380954	10.40973431708256	9.741943242906565	10.076936713300396
DNAH5	9.776819164008717	10.188144648482991	9.322713479082992	9.750771692918764
FAT4	9.464156650278422	9.883027645255076	8.982050925802026	9.440536576537589
CSMD1	9.436661577566184	9.85447587456932	8.97301791248712	9.415733931987845
MUC17	9.323821881721312	9.772431522789121	8.866281895055513	9.30676847811407
FAT3	9.323453643701665	9.768820651729971	8.851992514646755	9.3012644938542
KMT2D	9.171580167290186	9.602765350214124	8.708837024032565	9.153297077814875
XIRP2	9.159335415481806	9.575098198520628	8.683681079114553	9.137284958403212
KMT2C	9.12537611196549	9.56827390642068	8.632563925916969	9.100313958261351
OBSCN	9.068904607256192	9.495474369902313	8.604981372371691	9.049174336516566
SPTA1	8.99427251575652	9.439852049506964	8.533808593550487	8.979109753129302
HMCN1	8.81354064430141	9.252762668062664	8.32413587825216	8.793548755342796
RYR1	8.685569856596354	9.111634195905241	8.234863608453	8.672387018384882
