Hugo_Symbol	Mean	CL97.5%	CL2.5%
TP53	29.788434473441107	30.32397256895799	29.210470984020187
TTN	24.26520193643503	24.800801319240463	23.738578746315422
MUC16	15.561436205719096	16.03421461897356	15.074454697986578
CSMD3	10.117847392457303	10.525223167946855	9.719312945119398
PIK3CA	9.935534889523359	10.333427593675271	9.549119868727578
LRP1B	9.926081676017445	10.328657376349543	9.506362605067332
RYR2	9.495325364391226	9.897752634037474	9.095669476881184
SYNE1	9.907656078597302	10.303241062259756	9.514085244528223
USH2A	8.759068593929326	9.133035906495795	8.37160781011807
FLG	8.93443274072531	9.313674592461842	8.573223071286506
ZFHX4	7.822096345357893	8.188804652611902	7.468076198450911
KRAS	8.684685685970653	9.073920265780732	8.273984080435694
PCLO	8.509771379580089	8.86488773693654	8.158886330332844
APC	6.9121223769296	7.25638894660295	6.572131233321124
DNAH5	7.8483902175939075	8.215621105110095	7.48050044495629
FAT4	7.4223449207798575	7.780321251440076	7.056113902847572
CSMD1	7.2170208204369874	7.567258751428274	6.856126027110483
MUC17	6.957191287456336	7.317579849389769	6.624110506488071
FAT3	7.008651414683162	7.364320955595948	6.656549269977498
KMT2D	8.81790074816093	9.190508333766031	8.439348725197632
XIRP2	6.860657100362371	7.199252025763557	6.514572759143948
KMT2C	7.2102259709515	7.561672292910933	6.865156192768563
OBSCN	7.099591356087878	7.453116939592854	6.750623719014086
SPTA1	6.60694596470507	6.945936216622486	6.264064053587315
HMCN1	6.973386553720384	7.327966761880031	6.6296897074983
RYR1	6.558529837845491	6.893506493506493	6.226128812849892
PCDH15	6.239865005007558	6.5476167216388745	5.916696196569499
RYR3	6.227021973848477	6.566574887007118	5.896695651808707
APOB	6.4027955098759595	6.757388458941465	6.054738604845884
NEB	5.909699239379663	6.244601993154645	5.606987813170146
DNAH9	6.091318267219034	6.426095544370438	5.769912331431703
GPR98	6.365350297053464	6.716185331394141	6.023024594453165
PKHD1L1	5.867119444753374	6.1882988672970995	5.545383206905571
BRAF	5.972623671051625	6.297412449340123	5.645372259718516
ABCA13	5.828049571347894	6.161160823489014	5.508186430925354
CSMD2	5.625867251008314	5.929859247186391	5.324546262879857
LRP2	5.889752745454589	6.199334857617958	5.571249215317012
AHNAK2	5.799286755554042	6.1305070656691605	5.4673592090941066
DNAH8	5.6110031676435534	5.928504624337524	5.303624666562059
DNAH7	5.662814328384163	5.980774227071967	5.346306758736137
DMD	5.57050563069758	5.892255667381646	5.2470641410290675
DNAH11	5.41358737316406	5.726460195385575	5.1100999006224175
ARID1A	6.441309929425199	6.7696555819073545	6.115813161849836
ANK2	5.052788241877084	5.357636974600134	4.753686852839661
MUC5B	5.318558120553111	5.618211111688582	5.015952717192322
COL11A1	5.076496292746566	5.3782997297859065	4.789418019037775
RELN	5.167795290187196	5.45287262492967	4.884046539764599
NAV3	4.850273244253314	5.160049885678653	4.559953982115776
FAT1	5.4194052121252865	5.721683564854499	5.120025103289577
MACF1	5.220685229219114	5.524209415117118	4.921166409076397
PKHD1	5.165301913992182	5.45721965852842	4.863762355525339
ANK3	5.097461063895338	5.399366003221951	4.795774279587888
DNAH3	5.054400497814061	5.348077863840338	4.753935463626379
AHNAK	5.0693482481936005	5.368743828283353	4.76974995409723
SYNE2	5.109342511533163	5.42015278283012	4.791672926889302
PAPPA2	4.580148792518487	4.870439114221275	4.288129227132078
CACNA1E	4.778626476330456	5.0675675675675675	4.491738130098306
FAT2	4.486986112756854	4.766607755483938	4.203921568627451
FAM135B	4.565341717118608	4.849900126413636	4.282451732863824
SI	4.7139646231318055	5.005197505197505	4.423992051456362
CUBN	4.837577708909297	5.154585606651079	4.539511531823649
MXRA5	4.564342795328407	4.8445784385071216	4.277347835180924
RP1	4.755118458322016	5.046777546777547	4.475816993464052
DST	4.852811315954346	5.160049885678653	4.5549628699926785
ZNF536	4.327117997106575	4.620582120582121	4.057092068803263
HYDIN	4.836839645780827	5.12993762993763	4.5345188284518825
PTEN	5.437389083246819	5.737151171854701	5.125791097860767
HERC2	4.618611925385152	4.896682475436431	4.329638151014432
FCGBP	4.596620797323751	4.880711055668174	4.308722024681029
LAMA2	4.450656295303196	4.725514660012477	4.177559343302311
DNAH10	4.6397257783655474	4.922796204302857	4.350781781101292
GPR112	4.331589954380324	4.601111767679773	4.0673358427436215
DCHS2	4.463481502601939	4.760667324983109	4.17799623509726
MDN1	4.502882367516226	4.777500519858599	4.21469462141229
PLEC	4.5069612598577145	4.792721699830218	4.220049155467239
FMN2	4.276847546660523	4.558685934088783	4.004809954514561
FBN2	4.461046776072529	4.740863960076935	4.183006535947712
C1ORF173	4.024437877303971	4.294478527607362	3.748893782989038
KIAA1109	4.3755249516999255	4.6574487992514815	4.109034013156069
COL6A3	4.523197405659539	4.8132636596401595	4.240744614097469
TG	4.386358292938385	4.6678448903212395	4.10958904109589
SACS	4.450588867032921	4.745199378896646	4.182350480970305
TENM1	4.324673166150844	4.610550684307117	4.041830065359477
FLG2	4.2004718857728545	4.480839373011579	3.9363060424087144
VCAN	4.251904943416166	4.533055390791505	3.9788769214681587
SPHKAP	4.177263709397877	4.46985446985447	3.905348330174164
UNC13C	4.257680655850965	4.538129645994697	3.97406400334658
ATM	4.716375554423584	5.010134608388338	4.428989751098097
COL22A1	4.082318328012645	4.341620721585564	3.8163948138854034
ZFHX3	4.227223068410155	4.506939751520507	3.9475868531892995
THSD7B	4.134186318802202	4.408525143779803	3.8535947712418297
DSCAM	4.181803181764131	4.460154909809222	3.9056781344766285
HUWE1	4.282910039840983	4.564245244734073	4.010247830178814
HRNR	4.120831656269006	4.398003742981909	3.8481648018404266
PEG3	3.9589789147344656	4.2216907559529995	3.695959015107951
PTPRD	3.9842656744978164	4.252664413828958	3.701834897941607
COL12A1	4.116143972137179	4.387730826865245	3.847762442492681
RP1L1	3.890866524880401	4.154318099100504	3.6382645060115
MUC4	4.470913712149731	4.746432793641361	4.183444020289703
BIRC6	4.486221223163563	4.7668555388054275	4.214158736798076
NRXN1	3.9179453548981913	4.185296870125819	3.6442538952211647
DNAH17	4.3011614504395475	4.5845618413157005	4.020704799749033
SVEP1	4.015599441496711	4.283857551338706	3.738366621353132
TNR	3.6783048054179295	3.9409379224290317	3.41871406168322
CREBBP	4.294240411639667	4.584437860595665	4.005647649427392
LRP1	4.27082491909732	4.548650317762789	3.9995817430856904
ADGRB3	3.883809089861037	4.149027563317373	3.617607189322064
LAMA1	4.258325250211012	4.528327874750482	3.984105406253268
DNAH2	4.247768017337879	4.527733014503301	3.9634803892803605
VPS13B	4.1120643527838485	4.3873784893694445	3.8324793474850987
CDH10	3.697225262587411	3.9667273199896025	3.4295273943956506
CNTNAP5	3.9403721901863036	4.216053233520483	3.6802760207015526
ASPM	3.824394045735145	4.1016843418590145	3.5602258469259724
TENM3	3.8812580650660786	4.143919305360578	3.617607189322064
GRIN2A	3.7266742218668174	4.0027031241877635	3.480896879736581
FLNC	3.768824892148074	4.0247517029795645	3.5079464659138435
FRAS1	4.06428824365278	4.340819297151175	3.7906514692042244
UBR4	3.9313438995946703	4.191056317708409	3.6749224606782205
MAGEC1	3.852703496206772	4.107737104825291	3.5914057190652935
SDK1	3.938731150299897	4.206093376312779	3.6702044230668687
