symbol	Protein Length	Kinome	DING	Ontogen	Foundation	RAS_Pathway
BRCA2	3418		BRCA2	BRCA2	BRCA2	BRCA2
NF1	2839		NF1	NF1	NF1	NF1
MTOR	2549		MTOR	MTOR	MTOR	MTOR
ROS1	2347	ROS1			ROS1	ROS1
PLCE1	2302					PLCE1
PLXNB1	2135					PLXNB1
RALGAPA1	2036					RALGAPA1
RALGAPA2	1873					RALGAPA2
BRCA1	1863		BRCA1	BRCA1	BRCA1	BRCA1
TSC2	1807		TSC2		TSC2	TSC2
TIAM2	1701					TIAM2
SCRIB	1630					SCRIB
ALK	1620	ALK	ALK	ALK	ALK	ALK
PREX2	1606					PREX2
TIAM1	1591					TIAM1
ARHGAP35	1499		ARHGAP35	ARHGAP35		ARHGAP35
RAPGEF2	1499					RAPGEF2
FANCA	1455				FANCA	FANCA
MET	1390	MET	MET	MET	MET	MET
ROCK2	1388	ROCK2				ROCK2
INSR	1382	INSR				INSR
ROCK1	1354	ROCK1				ROCK1
IRS2	1338			IRS2	IRS2	IRS2
RPTOR	1335				RPTOR	RPTOR
SOS1	1333		SOS1	SOS1		SOS1
SOS2	1332			SOS2		SOS2
INSRR	1297	INSRR				INSRR
RASGRF1	1273					RASGRF1
ERBB2	1255	ERBB2	ERBB2	ERBB2	ERBB2	ERBB2
BRIP1	1249				BRIP1	BRIP1
APAF1	1248			APAF1		APAF1
IRS1	1242					IRS1
RASGRF2	1237					RASGRF2
EGFR	1210	EGFR	EGFR	EGFR	EGFR	EGFR
DAB2IP	1189					DAB2IP
TSC1	1164		TSC1	TSC1	TSC1	TSC1
RASAL2	1139					RASAL2
PDGFRB	1106	PDGFRB			PDGFRB	PDGFRB
PIK3CG	1102		PIK3CG			PIK3CG
PDGFRA	1089	PDGFRA	PDGFRA		PDGFRA	PDGFRA
BUB1	1085	BUB1				BUB1
RAPGEF1	1077					RAPGEF1
PIK3CA	1068		PIK3CA	PIK3CA	PIK3CA	PIK3CA
RASA1	1047		RASA1	RASA1		RASA1
PIK3CD	1044					PIK3CD
CNKSR2	1034					CNKSR2
RASAL3	1011					RASAL3
FLT3	993	FLT3	FLT3	FLT3	FLT3	FLT3
ARHGEF2	986			ARHGEF2		ARHGEF2
CBLB	982					CBLB
EXOC4	974					EXOC4
NFKB1	968					NFKB1
KSR2	950	KSR2				KSR2
RB1	928		RB1	RB1	RB1	RB1
EXOC2	924					EXOC2
INPP4B	924				INPP4B	INPP4B
KSR1	923	KSR1				KSR1
ECT2	914					ECT2
RALGDS	914					RALGDS
E2F7	911					E2F7
