Symbol	Synonyms	dbXrefs	chromosome	map_location	description	type_of_gene	Symbol_from_nomenclature_authority	Full_name_from_nomenclature_authority	Other_designations	Modification_date
A1BG	A1B|ABG|GAB|HYST2477	MIM:138670|HGNC:HGNC:5|Ensembl:ENSG00000121410	19	19q13.43	alpha-1-B glycoprotein	protein-coding	A1BG	alpha-1-B glycoprotein	alpha-1B-glycoprotein|HEL-S-163pA|epididymis secretory sperm binding protein Li 163pA	20210302
A2M	A2MD|CPAMD5|FWP007|S863-7	MIM:103950|HGNC:HGNC:7|Ensembl:ENSG00000175899	12	12p13.31	alpha-2-macroglobulin	protein-coding	A2M	alpha-2-macroglobulin	alpha-2-macroglobulin|C3 and PZP-like alpha-2-macroglobulin domain-containing protein 5|alpha-2-M	20210302
A2MP1	A2MP	HGNC:HGNC:8|Ensembl:ENSG00000256069	12	12p13.31	alpha-2-macroglobulin pseudogene 1	pseudo	A2MP1	alpha-2-macroglobulin pseudogene 1	pregnancy-zone protein pseudogene	20210302
NAT1	AAC1|MNAT|NAT-1|NATI	MIM:108345|HGNC:HGNC:7645|Ensembl:ENSG00000171428	8	8p22	N-acetyltransferase 1	protein-coding	NAT1	N-acetyltransferase 1	arylamine N-acetyltransferase 1|N-acetyltransferase 1 (arylamine N-acetyltransferase)|N-acetyltransferase type 1|arylamide acetylase 1|monomorphic arylamine N-acetyltransferase	20210302
NAT2	AAC2|NAT-2|PNAT	MIM:612182|HGNC:HGNC:7646|Ensembl:ENSG00000156006	8	8p22	N-acetyltransferase 2	protein-coding	NAT2	N-acetyltransferase 2	arylamine N-acetyltransferase 2|N-acetyltransferase 2 (arylamine N-acetyltransferase)|N-acetyltransferase type 2|arylamide acetylase 2	20210302
NATP	AACP|NATP1	HGNC:HGNC:15	8	8p22	N-acetyltransferase pseudogene	pseudo	NATP	N-acetyltransferase pseudogene	arylamide acetylase pseudogene	20210302
SERPINA3	AACT|ACT|GIG24|GIG25	MIM:107280|HGNC:HGNC:16|Ensembl:ENSG00000196136	14	14q32.13	serpin family A member 3	protein-coding	SERPINA3	serpin family A member 3	"alpha-1-antichymotrypsin|cell growth-inhibiting gene 24/25 protein|growth-inhibiting protein 24|growth-inhibiting protein 25|serine (or cysteine) proteinase inhibitor, clade A, member 3|serpin A3|serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3"	20210307
AADAC	CES5A1|DAC	MIM:600338|HGNC:HGNC:17|Ensembl:ENSG00000114771	3	3q25.1	arylacetamide deacetylase	protein-coding	AADAC	arylacetamide deacetylase	arylacetamide deacetylase|arylacetamide deacetylase (esterase)	20210302
AAMP	-	MIM:603488|HGNC:HGNC:18|Ensembl:ENSG00000127837	2	2q35	angio associated migratory cell protein	protein-coding	AAMP	angio associated migratory cell protein	angio-associated migratory cell protein	20210302
AANAT	DSPS|SNAT	MIM:600950|HGNC:HGNC:19|Ensembl:ENSG00000129673	17	17q25.1	aralkylamine N-acetyltransferase	protein-coding	AANAT	aralkylamine N-acetyltransferase	serotonin N-acetyltransferase|arylalkylamine N-acetyltransferase|serotonin acetylase	20210302
AARS1	AARS|CMT2N|DEE29|EIEE29	MIM:601065|HGNC:HGNC:20|Ensembl:ENSG00000090861	16	16q22.1	alanyl-tRNA synthetase 1	protein-coding	AARS1	alanyl-tRNA synthetase 1	"alanine--tRNA ligase, cytoplasmic|alaRS|alanine tRNA ligase 1, cytoplasmic|alanyl-tRNA synthetase, cytoplasmic|renal carcinoma antigen NY-REN-42"	20210307
AAVS1	AAV	MIM:102699|HGNC:HGNC:22	19	19q13|19q13-qter	adeno-associated virus integration site 1	other	AAVS1	adeno-associated virus integration site 1	-	20190324
ABAT	GABA-AT|GABAT|NPD009	MIM:137150|HGNC:HGNC:23|Ensembl:ENSG00000183044	16	16p13.2	4-aminobutyrate aminotransferase	protein-coding	ABAT	4-aminobutyrate aminotransferase	"4-aminobutyrate aminotransferase, mitochondrial|(S)-3-amino-2-methylpropionate transaminase|4-aminobutyrate transaminase|GABA aminotransferase|GABA transaminase|GABA transferase|gamma-amino-N-butyrate transaminase|gamma-aminobutyrate aminotransferase"	20210302
ABCA1	ABC-1|ABC1|CERP|HDLCQTL13|HDLDT1|HPALP1|TGD	MIM:600046|HGNC:HGNC:29|Ensembl:ENSG00000165029	9	9q31.1	ATP binding cassette subfamily A member 1	protein-coding	ABCA1	ATP binding cassette subfamily A member 1	"phospholipid-transporting ATPase ABCA1|ATP-binding cassette sub-family A member 1|ATP-binding cassette transporter A1|ATP-binding cassette, sub-family A (ABC1), member 1|cholesterol efflux regulatory protein|membrane-bound"	20210307
ABCA2	ABC2|IDPOGSA	MIM:600047|HGNC:HGNC:32|Ensembl:ENSG00000107331	9	9q34.3	ATP binding cassette subfamily A member 2	protein-coding	ABCA2	ATP binding cassette subfamily A member 2	"ATP-binding cassette sub-family A member 2|ATP-binding cassette 2|ATP-binding cassette transporter 2|ATP-binding cassette, sub-family A (ABC1), member 2|ATP-binding cassette, sub-family A, member 2"	20210302
ABCA3	ABC-C|ABC3|EST111653|LBM180|SMDP3	MIM:601615|HGNC:HGNC:33|Ensembl:ENSG00000167972	16	16p13.3	ATP binding cassette subfamily A member 3	protein-coding	ABCA3	ATP binding cassette subfamily A member 3	"ATP-binding cassette sub-family A member 3|ABC transporter 3|ABC-C transporter|ATP-binding cassette transporter 3|ATP-binding cassette, sub-family A (ABC1), member 3"	20210302
ABCB7	ABC7|ASAT|Atm1p|EST140535	MIM:300135|HGNC:HGNC:48|Ensembl:ENSG00000131269	X	Xq13.3	ATP binding cassette subfamily B member 7	protein-coding	ABCB7	ATP binding cassette subfamily B member 7	"ATP-binding cassette sub-family B member 7, mitochondrial|ABC transporter 7 protein|ATP-binding cassette transporter 7|ATP-binding cassette, sub-family B (MDR/TAP), member 7"	20210302
ABCF1	ABC27|ABC50	MIM:603429|HGNC:HGNC:70|Ensembl:ENSG00000204574	6	6p21.33	ATP binding cassette subfamily F member 1	protein-coding	ABCF1	ATP binding cassette subfamily F member 1	"ATP-binding cassette sub-family F member 1|ATP-binding cassette 50 (TNF-alpha stimulated)|ATP-binding cassette, sub-family F (GCN20), member 1|TNF-alpha-stimulated ABC protein|TNFalpha-inducible ATP-binding protein"	20210307
ABCA4	ABC10|ABCR|ARMD2|CORD3|FFM|RMP|RP19|STGD|STGD1	MIM:601691|HGNC:HGNC:34|Ensembl:ENSG00000198691	1	1p22.1	ATP binding cassette subfamily A member 4	protein-coding	ABCA4	ATP binding cassette subfamily A member 4	"retinal-specific phospholipid-transporting ATPase ABCA4|ATP binding cassette transporter|ATP-binding cassette sub-family A member 4|ATP-binding cassette transporter, retinal-specific|ATP-binding cassette, sub-family A (ABC1), member 4|ATP-binding transporter, retina-specific|RIM ABC transporter|RIM protein|photoreceptor rim protein|retina-specific ABC transporter|retinal-specific ATP-binding cassette transporter|stargardt disease protein"	20210302
ABL1	ABL|BCR-ABL|CHDSKM|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	MIM:189980|HGNC:HGNC:76|Ensembl:ENSG00000097007	9	9q34.12	"ABL proto-oncogene 1, non-receptor tyrosine kinase"	protein-coding	ABL1	"ABL proto-oncogene 1, non-receptor tyrosine kinase"	"tyrosine-protein kinase ABL1|ABL protooncogene 1 nonreceptor tyrosine kinase|Abelson tyrosine-protein kinase 1|bcr/c-abl oncogene protein|c-abl oncogene 1, receptor tyrosine kinase|proto-oncogene c-Abl|proto-oncogene tyrosine-protein kinase ABL1|truncated ABL protooncogene 1 nonreceptor tyrosine kinase|v-abl Abelson murine leukemia viral oncogene homolog 1"	20210307
AOC1	ABP|ABP1|DAO|DAO1|KAO	MIM:104610|HGNC:HGNC:80|Ensembl:ENSG00000002726	7	7q36.1	amine oxidase copper containing 1	protein-coding	AOC1	amine oxidase copper containing 1	amiloride-sensitive amine oxidase [copper-containing]|amiloride binding protein 1 (amine oxidase (copper-containing))|amiloride-binding protein 1|amiloride-sensitive amine oxidase|amine oxidase copper domain-containing protein 1|diamine oxidase|histaminase|kidney amine oxidase	20210302
ABL2	ABLL|ARG	MIM:164690|HGNC:HGNC:77|Ensembl:ENSG00000143322	1	1q25.2	"ABL proto-oncogene 2, non-receptor tyrosine kinase"	protein-coding	ABL2	"ABL proto-oncogene 2, non-receptor tyrosine kinase"	"tyrosine-protein kinase ABL2|Abelson tyrosine-protein kinase 2|abelson-related gene protein|c-abl oncogene 2, non-receptor tyrosine kinase|tyrosine-protein kinase ARG|v-abl Abelson murine leukemia viral oncogene homolog 2"	20210302
ABO	A3GALNT|A3GALT1|GTB|NAGAT	MIM:110300|HGNC:HGNC:79|Ensembl:ENSG00000175164	9	9q34.2	"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase"	protein-coding	ABO	"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase"	"histo-blood group ABO system transferase|ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)|B(A) alpha-1,3-galactosyltransferase|histo-blood group A2 transferase"	20210302
ABR	MDB	MIM:600365|HGNC:HGNC:81|Ensembl:ENSG00000159842	17	17p13.3	ABR activator of RhoGEF and GTPase	protein-coding	ABR	ABR activator of RhoGEF and GTPase	"active breakpoint cluster region-related protein|ABR, RhoGEF and GTPase activating protein|active BCR-related"	20210302
ACAA1	ACAA|PTHIO|THIO	MIM:604054|HGNC:HGNC:82|Ensembl:ENSG00000060971	3	3p22.2	acetyl-CoA acyltransferase 1	protein-coding	ACAA1	acetyl-CoA acyltransferase 1	"3-ketoacyl-CoA thiolase, peroxisomal|acetyl-CoA C-myristoyltransferase|acetyl-Coenzyme A acyltransferase 1|beta-ketothiolase|epididymis secretory sperm binding protein|peroxisomal 3-oxoacyl-CoA thiolase|peroxisomal 3-oxoacyl-Coenzyme A thiolase|testicular tissue protein Li 197"	20210302
ACACA	ACAC|ACACAD|ACC|ACC1|ACCA	MIM:200350|HGNC:HGNC:84|Ensembl:ENSG00000278540	17	17q12	acetyl-CoA carboxylase alpha	protein-coding	ACACA	acetyl-CoA carboxylase alpha	acetyl-CoA carboxylase 1|ACC-alpha|acetyl-Coenzyme A carboxylase alpha	20210302
ACACB	ACC-beta|ACC2|ACCB|HACC275	MIM:601557|HGNC:HGNC:85|Ensembl:ENSG00000076555	12	12q24.11	acetyl-CoA carboxylase beta	protein-coding	ACACB	acetyl-CoA carboxylase beta	acetyl-CoA carboxylase 2|acetyl-Coenzyme A carboxylase beta	20210302
ACADL	ACAD4|LCAD	MIM:609576|HGNC:HGNC:88|Ensembl:ENSG00000115361	2	2q34	acyl-CoA dehydrogenase long chain	protein-coding	ACADL	acyl-CoA dehydrogenase long chain	"long-chain specific acyl-CoA dehydrogenase, mitochondrial|acyl-Coenzyme A dehydrogenase, long chain"	20210302
